Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
155,1,midRight,lowB,4.149132640442285,0,0,0,0,0,0.0064000000000087,1.6777473701336257e-15,16.000001638400008,0.0333418528822525,4.320572775786776
156,1,midLeft,lowA,3.865677870666992,1,1,0,0,0,0.8012800000000018,3.355494740267251e-16,3.200000327680001,0.0066683705764505,4.028312246971596
157,1,downRight,lowC,4.179989804346798,1,0,0,0,1,0.1602560000000003,6.710989480534501e-17,0.6400000655360003,0.8013336741152901,4.0771940725213724
158,1,downRight,lowC,5.868928045975757,1,0,0,0,1,0.0320512,1.3421978961068997e-17,0.1280000131072,0.960266734823058,5.993907304186607
159,1,downRight,lowC,6.188008317793615,1,0,0,0,1,0.00641024,2.6843957922137985e-18,0.0256000026214399,0.9920533469646116,6.322026423039265
160,1,midLeft,lowA,4.078606666151544,0,0,0,0,0,0.001282048,5.368791584427596e-19,0.0051200005242879,0.1984106693929223,3.972757345118209
161,1,midRight,lowB,3.988224539155509,1,0,1,0,0,0.0002564096,0.8,0.0010240001048575,0.0396821338785844,4.0428392893404625
162,1,midLeft,lowA,4.054415392373673,1,1,0,0,0,0.8000512819200001,0.1599999999999999,0.0002048000209715,0.0079364267757168,4.012306196367335
163,1,midLeft,lowA,6.036553630840063,1,1,0,0,0,0.960010256384,0.0319999999999999,4.096000419430396e-05,0.0015872853551433,6.126608189471283
164,1,midLeft,lowA,6.384670852752865,0,0,0,0,0,0.1920020512767999,0.0063999999999999,8.192000838860793e-06,0.0003174570710286,6.60211736628591
165,1,downLeft,high,4.077484848100536,1,0,0,100,0,0.0384004102553599,0.0012799999999999,80.00000163840018,6.349141420573502e-05,3.7960178446229915
166,1,midLeft,lowA,4.043104147181383,1,1,0,0,0,0.807680082051072,0.0002559999999999,16.000000327680027,1.2698282841147e-05,4.215163382729216
167,1,downRight,lowC,4.090329067889356,1,0,0,0,1,0.1615360164102143,5.119999999999989e-05,3.2000000655360044,0.8000025396565683,3.8963045299057564
168,1,midRight,lowB,4.101965148300297,0,0,0,0,0,0.0323072032820428,1.0239999999999976e-05,0.6400000131072008,0.1600005079313136,3.951870455191076
