Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
927,9,midLeft,lowB,7.179895958464,1,1,0,0,0,0.6810814101828571,0.016242735900711222,0.020651560045617454,0.2582631666806473
928,9,downRight,lowA,5.4001749305079985,1,0,0,0,1,0.41934702234318694,0.010000776460542832,0.01271532313522714,0.5433069707023339
929,9,midLeft,lowB,6.623157612992733,1,1,0,0,0,0.6424875300447329,0.006157554393860964,0.007828921499204278,0.3345182484442672
930,9,midLeft,lowB,8.619067561531416,1,1,0,0,0,0.7798768436712312,0.0037912532354811225,0.004820326718311754,0.20596543864983724
931,9,midRight,lowC,3.429905716201368,1,0,1,0,0,0.48017612476037236,0.3866266714345069,0.0029679119497662346,0.1268144925292098
932,9,downRight,lowA,4.189082469959852,1,0,0,0,1,0.295648104775744,0.23804899238255411,0.0018273660389249002,0.46237301879551873
933,9,midRight,lowC,5.131776111230029,1,0,1,0,0,0.18203279453160937,0.5308609493100369,0.0011251232168390623,0.2846865965577804
934,9,midLeft,lowB,4.767443330823462,1,1,0,0,0,0.49637134877098565,0.3268551380835276,0.0006927469516808202,0.17528371026228645
935,9,downRight,lowA,4.617880358362223,1,0,0,0,1,0.30561962780293717,0.20124720311496835,0.0004265295852762706,0.49221588607655686
936,9,midLeft,lowB,5.7386135650882295,1,1,0,0,0,0.5724647052454209,0.12390943890026128,0.00026261752097866986,0.3030610777069963
937,9,midRight,lowC,4.1514322421823175,1,0,1,0,0,0.35247088813771277,0.46058435510446344,0.00016169561199444197,0.18659701854206462
938,9,downRight,lowA,4.709847041408364,1,0,0,0,1,0.2170190159257539,0.2835853026719055,0.0001,0.4991815763289186
939,9,midLeft,lowB,4.826650518920246,0,0,0,0,0,0.13362026442019634,0.17460563521154854,0.0001,0.30734990635834447
940,9,downRight,lowA,5.5311404440240475,1,0,0,0,1,0.08227101660912281,0.1075060222105392,0.0001,0.5735300509576751
941,9,midRight,lowC,4.1377542486471715,0,0,0,0,0,0.05065489282833299,0.06619227837366227,0.0001,0.35312682962359165
942,9,downLeft,high,3.160340174291565,1,0,0,100,0,0.031188604118517402,0.04075509098193452,0.9999,0.21742288410483226
943,9,downLeft,high,11.515398366235324,1,0,0,100,0,0.01920306159087401,0.025093220565235278,0.9999,0.13386892914042442
944,9,midRight,lowC,3.3170335343838864,1,0,1,0,0,0.011823471581530662,0.39974245529856206,0.6156460613546586,0.08242412137520569
945,9,downRight,lowA,3.978997235174017,1,0,0,0,1,0.0072798016908771765,0.2461244806088613,0.37905797865936997,0.43504152848345345
946,9,midLeft,lowB,3.2269667592649367,0,0,0,0,0,0.004482229461377656,0.1515407211619227,0.23338889047574693,0.2678583893754862
947,9,downRight,lowA,5.459568281989672,1,0,0,0,1,0.002759742888273794,0.09330477859604186,0.14369932111743913,0.5492148225474167
948,9,downLeft,high,4.187137209613347,0,0,0,0,0,0.0016991947589931901,0.057448464294651086,0.08847676874216394,0.3381557579147063
949,9,midLeft,lowB,3.23551816592384,0,0,0,0,0,0.0010462071815667926,0.03537145791966764,0.05447582177967817,0.20820508099268764
950,9,downLeft,high,3.700660666176147,0,0,0,0,0,0.0006441577464672008,0.02177847660027546,0.03354117923564076,0.12819345741291713
951,9,downRight,lowA,4.364895019606641,1,0,0,0,1,0.0003966128407877037,0.013409174258690051,0.020651560045617454,0.46322205799883986
952,9,downLeft,high,3.283465271104604,0,0,0,0,0,0.000244197553068939,0.00825613093147395,0.01271532313522714,0.2852093564752325
953,9,downLeft,high,3.468845390681914,1,0,0,100,0,0.0001503542971690544,0.005083362826272933,0.9999,0.175605577533227
954,9,midLeft,lowB,3.363240460798331,1,1,0,0,0,0.3843849421704183,0.003129865288960513,0.6156460613546586,0.10812169432967429
955,9,midLeft,lowB,6.426341281581269,1,1,0,0,0,0.6209611104476425,0.0019270819459137917,0.37905797865936997,0.06657135239629594
956,9,downLeft,high,6.276939781032343,1,0,0,100,0,0.38233049495100135,0.0011865190618156787,0.9999,0.04098848975080769
957,9,downRight,lowA,3.5891810879755814,1,0,0,0,1,0.23540380373273445,0.0007305488420132485,0.6156460613546586,0.40952929385068704
