Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
603,6,midLeft,high,1.0964056370689128,1,1,0,0,0,0.8162389406819373,0.00042549457989019625,0.1746927576163501,0.008642807121822546
604,6,downRight,lowB,0.1542082824076365,1,0,0,0,1,0.18132568555282735,9.45226851504335e-05,0.038807611910103484,0.7797721798519187
605,6,midRight,lowC,0.13747012702995354,1,0,1,0,0,0.040281102263674956,0.7778731972641912,0.008621025637895425,0.17322467483423842
606,6,midLeft,high,0.46264742564451,1,1,0,0,0,0.7868005575369212,0.1728028200287266,0.0019151418856026186,0.03848148054874953
608,6,downRight,lowB,0.4332560803174271,1,0,0,0,1,0.17478601347974898,0.03838776643147246,0.00042544455799634214,0.7864007755307822
609,6,midLeft,high,0.9370887096367475,1,1,0,0,0,0.8166805277526287,0.008527757888165888,9.451157289672483e-05,0.17469720278630874
610,6,midRight,lowC,0.245887162648163,1,0,1,0,0,0.1814237831494178,0.7797466219176848,2.0995538063715776e-05,0.03880859939483373
611,6,midRight,lowC,3.6985943248152875,1,0,1,0,0,0.040302894429015634,0.9510711964529216,4.664112606258548e-06,0.008621245005456517
616,6,midRight,lowC,4.328917634435327,1,0,1,0,0,0.008953199360960368,0.9891305738990579,1.0361223578954043e-06,0.0019151906176238694
617,6,midLeft,high,0.1675545326128588,1,1,0,0,0,0.7798411328052107,0.21973318163877853,2.3017230310653043e-07,0.0004254553837076888
618,6,downRight,lowB,0.10840640559308612,1,0,0,0,1,0.17323999258116696,0.048813243051192695,5.113227092693694e-08,0.7779467132353695
619,6,downRight,lowB,3.5133545515734417,1,0,0,0,1,0.03848488335254205,0.010843754590928414,1.1358921533385402e-08,0.950671350697608
620,6,downLeft,lowA,0.11130524416776663,1,0,0,1,0,0.008549332198596375,0.0024089162341654324,0.7778522017809242,0.211189549786314
621,6,midLeft,high,0.31707704295457556,1,1,0,0,0,0.7797514146032994,0.0005351354435925999,0.17279815592829328,0.046915294024814674
622,6,downLeft,lowA,1.0191364171549846,1,0,0,1,0,0.17322006187992578,0.00011887916189342359,0.8162389295693835,0.010422129388797295
623,6,midRight,lowC,0.17345515402992484,1,0,1,0,0,0.03848045579109405,0.7778786080019335,0.18132568308419805,0.0023152531227744206
624,6,downRight,lowB,0.06923964507103786,1,0,0,0,1,0.008548348625558047,0.17280402201221645,0.04028110171527438,0.7783665276469511
625,6,midLeft,high,0.28020506144619217,1,1,0,0,0,0.7797511961047121,0.03838803344946126,0.00894835815753054,0.17291241228829612
626,6,midLeft,high,3.4968721160869984,1,1,0,0,0,0.9510722125985098,0.008527817205624857,0.0019878580849510396,0.03841211211091422
627,6,midLeft,high,4.208763537714765,1,1,0,0,0,0.9891307996335655,0.0018944358373630616,0.0004415983017599424,0.008533166227311456
628,6,downLeft,lowA,0.34558700284560395,1,0,0,1,0,0.219733231785203,0.0004208447549178579,0.7779502993491123,0.001895624110766863
629,6,midRight,lowC,0.4092709908245447,1,0,1,0,0,0.0488132541911106,0.7779456889943238,0.17281994808732448,0.00042110872724119295
630,6,downRight,lowB,0.2647208962575742,1,0,0,0,1,0.010843757065636679,0.17281892390714748,0.03839157139202096,0.7779457476351949
632,6,midRight,lowC,1.0891036180708042,1,0,1,0,0,0.0024089167839164306,0.8162435431302119,0.008528603151783647,0.17281893693408812
634,6,midLeft,high,0.2600944477754374,1,1,0,0,0,0.7783873348232834,0.18132670797658967,0.001894610433573739,0.038391346766553286
635,6,midLeft,high,3.4017654445983867,1,1,0,0,0,0.9507692338143228,0.04028132939286519,0.00042088354108207773,0.008528553251730013
636,6,midLeft,high,4.278359634372228,1,1,0,0,0,0.9890634935629867,0.008948408735606615,9.349835302007196e-05,0.0018945993483865673
639,6,midLeft,high,4.367794362295783,1,1,0,0,0,0.997570479147212,0.001987869320759405,2.0770453496448814e-05,0.00042088107853212667
642,6,midRight,lowC,0.23783290762571735,1,0,1,0,0,0.22160808802813048,0.7782938000553349,4.61411056465913e-06,9.34978059700161e-05
643,6,downRight,lowB,0.41764702088919536,1,0,0,0,1,0.04922974938218519,0.17289625601376524,1.0250145143214616e-06,0.7778729695895352
644,6,downRight,lowB,3.273926980654922,1,0,0,0,1,0.010936280556353699,0.03840852303005898,2.2770472008558805e-07,0.9506549687088672
645,6,midRight,lowC,0.5999595182375838,1,0,1,0,0,0.00242947067389623,0.7863845681784576,5.058410278568521e-08,0.2111859105635434
647,6,midLeft,high,0.22837759532037646,1,1,0,0,0,0.7783919008247391,0.17469360235863396,1.1237147186369259e-08,0.046914485579479775
648,6,midLeft,high,3.4415555520832934,1,1,0,0,0,0.9507702481415043,0.03880779956774402,2.496307534070974e-09,0.010421949794444121
650,6,downLeft,lowA,0.19471282405728088,1,0,0,1,0,0.21121151963597462,0.008621067325627563,0.777852199812114,0.002315213226283837
651,6,midLeft,high,1.003951452029135,1,1,0,0,0,0.8247723738361643,0.001915151146440631,0.1727981554909264,0.0005143195264687527
652,6,midLeft,high,3.770569679234852,1,1,0,0,0,0.9610735682183863,0.0004254466152711397,0.03838673021465866,0.0001142549516839241
654,6,downLeft,lowA,0.34406396224496966,1,0,0,1,0,0.21350037953139933,9.451202991579667e-05,0.7863797269524444,2.5381486240516932e-05
655,6,midLeft,high,0.9548721495467549,1,1,0,0,0,0.8252808390281403,2.0995639589497478e-05,0.1746925268909223,5.638441347905216e-06
656,6,midLeft,high,3.7321671632347506,1,1,0,0,0,0.9611865226425379,4.664135159987673e-06,0.038807560654957114,1.2525673450523563e-06
657,6,midLeft,high,4.1025912195863805,1,1,0,0,0,0.9913776713658735,1.0361273681567277e-06,0.008621014251677384,2.78255080985172e-07
658,6,midLeft,high,4.324330151361821,1,1,0,0,0,0.9980845686566503,2.3017341612506458e-07,0.0019151393561793219,6.181375428626416e-08
659,6,midLeft,high,4.526485743443263,1,1,0,0,0,0.9995744911396017,5.113251818155647e-08,0.0004254439960905197,1.373178957032686e-08
